Date,crude_oil,gold,sp500,iron_ore
2/1/18,66.55,451.9337,2683.73,73.9
3/1/18,66.54,456.4227,2697.85,73.43
4/1/18,67.89,453.2113,2719.31,74.61
5/1/18,67.97,456.5608,2731.33,75.39
8/1/18,67.8,456.9268,2742.67,76.99
9/1/18,68,456.2707,2751.15,77.62
10/1/18,69.12,454.2472,2745.55,77.4
11/1/18,69.15,456.8163,2752.97,77.72
12/1/18,69.15,458.6326,2770.18,77.37
16/1/18,70.05,462.6381,2798.96,76.51
17/1/18,69.35,463.3978,2784.99,76.27
18/1/18,69.53,464.0884,2802.4,76.18
19/1/18,69.01,459.9448,2802.6,76.68
22/1/18,68.8,462.0166,2809.16,76.6
23/1/18,69.17,461.6367,2835.05,75.96
24/1/18,69.97,463.2942,2845.42,76.21
25/1/18,70.95,469.8204,2846.24,76.21
26/1/18,70.07,466.4365,2847.48,76.21
29/1/18,70.47,467.8522,2867.23,76.1
30/1/18,69.3,464.2956,2832.74,75.99
31/1/18,68.43,463.3287,2832.41,75.86
1/2/18,69,465.6768,2816.45,71.99
2/2/18,70,466.7472,2808.92,72.94
5/2/18,68.15,461.1188,2741.06,74.34
6/2/18,67.02,463.8122,2614.78,74.43
7/2/18,67.2,458.5635,2690.95,74.55
8/2/18,65.28,456.2845,2685.01,75.69
9/2/18,64.44,457.2514,2601.78,74.89
12/2/18,62.5,455.3177,2636.75,75.65
13/2/18,62.85,457.4931,2646.27,76.49
14/2/18,62.84,460.7044,2651.21,76.67
15/2/18,64.44,468.3702,2713.46,76.76
16/2/18,64.66,468.4392,2727.14,76.89
20/2/18,65.64,465.4351,2722.99,76.97
21/2/18,65.05,460.0138,2720.53,77.18
22/2/18,64.91,458.8398,2710.42,77.06
23/2/18,66.3,460.1519,2715.8,77.11
26/2/18,67.29,458.8052,2757.37,77.44
27/2/18,67.57,460.5318,2780.45,77.37
28/2/18,66.41,455.3522,2753.78,77.46
1/3/18,64.57,455.2141,2715.22,78.42
2/3/18,64.07,455.1796,2658.89,76.52
5/3/18,64.65,457.2514,2681.06,75.36
6/3/18,65.74,456.4227,2730.18,75.54
7/3/18,65.23,462.8867,2710.18,74.51
8/3/18,64.51,459.2265,2732.75,73.01
9/3/18,63.93,457.5967,2752.91,72.01
12/3/18,65.5,458.7776,2790.54,71.41
13/3/18,64.92,458.1146,2792.31,72.33
14/3/18,64.73,460.2901,2774.06,72.76
15/3/18,64.9,459.7376,2754.27,73.01
16/3/18,65.07,457.0097,2750.57,72.66
19/3/18,66.01,455.1105,2741.38,71.84
20/3/18,66.15,456.9751,2715.05,71.63
21/3/18,67.61,454.6961,2714.99,71.55
22/3/18,69.63,461.982,2691.36,70.96
23/3/18,69.11,460.3591,2646.71,70.26
26/3/18,70.43,468.2666,2619.35,70.51
27/3/18,70.13,469.3715,2667.57,70.35
28/3/18,69.72,465.4351,2611.3,69.86
29/3/18,69.86,459.2541,2614.41,69.7
2/4/18,69.32,459.3577,2633.45,66.22
3/4/18,67.63,464.2265,2592.17,64.35
4/4/18,68.15,461.7749,2584.04,62.94
5/4/18,68.36,462.7762,2657.36,62.67
6/4/18,68.09,460.1174,2645.82,63.34
9/4/18,67.1,461.3605,2617.18,63.92
10/4/18,68.46,462.3964,2638.41,65.29
11/4/18,71.03,464.0539,2643.89,64.28
12/4/18,72.09,469.6133,2653.83,64.19
13/4/18,71.94,463.018,2676.9,64.62
16/4/18,72.7,465.4351,2670.1,64.11
17/4/18,71.65,466.0221,2692.74,64.27
18/4/18,71.72,466.0221,2710.11,64.69
19/4/18,73.72,467.5414,2701.16,65.49
20/4/18,73.94,465.7459,2692.56,65.05
23/4/18,73.77,460.9807,2675.4,65.19
24/4/18,75.09,458.011,2680.8,65.25
25/4/18,74,460.2901,2634.92,65.22
26/4/18,74.23,457.0097,2651.65,65.29
27/4/18,74.72,455.076,2675.47,65.27
30/4/18,74.62,457.1478,2675.05,65.27
1/5/18,74.65,455.5249,2643.64,65.49
2/5/18,73.28,451.2431,2654.24,67.44
3/5/18,73.07,451.2431,2628.08,66.72
4/5/18,73.74,453.453,2621.45,66.98
7/5/18,75,454.6823,2669.36,66.69
8/5/18,75.6,454.6961,2670.26,66.99
9/5/18,76.19,454.9309,2678.12,66.2
10/5/18,77.44,455.1036,2705.02,66.49
11/5/18,77.55,458.7707,2722.7,67.49
14/5/18,77.05,458.2182,2733.37,67.59
15/5/18,78.42,457.2859,2718.59,67.58
16/5/18,78.1,447.5829,2712.62,67.3
17/5/18,79.26,447.9972,2719.71,67.26
18/5/18,79.46,447.2376,2717.35,67.03
21/5/18,78.61,447.8246,2725.95,66.85
22/5/18,79.36,447.6519,2738.34,66.51
23/5/18,79.47,447.8246,2713.98,66.35
24/5/18,79.65,448.4461,2730.94,66.36
25/5/18,78.82,452.3826,2723.6,66.26
29/5/18,75.82,449.6202,2705.11,66.27
30/5/18,75.37,450.6215,2702.43,66.02
31/5/18,77.37,451.2086,2720.98,65.95
1/6/18,77.71,450.518,2718.7,64.53
4/6/18,76.66,448.6533,2741.67,64.91
5/6/18,75.4,447.5829,2748.46,64.83
6/6/18,75.19,449.6547,2753.25,65.17
7/6/18,75.88,449.4475,2774.84,65.17
8/6/18,77.39,449.9309,2765.84,64.74
11/6/18,76.3,449.8273,2780.18,65.18
12/6/18,76.5,450.1036,2785.6,65.4
13/6/18,75.4,448.6188,2787.94,65.34
14/6/18,76.56,449.3439,2783.21,65.56
15/6/18,75.98,451.761,2777.78,65.39
18/6/18,73.06,442.8177,2765.79,65.3
19/6/18,75.24,442.0235,2752.01,65.01
20/6/18,75.2,441.5055,2769.73,65.01
21/6/18,74.46,438.8122,2769.28,64.93
22/6/18,73.24,438.7086,2760.79,64.89
25/6/18,74.8,439.5718,2742.94,64.88
26/6/18,74.74,437.8108,2722.12,64.91
27/6/18,76.54,435.2555,2728.45,64.85
28/6/18,77.5,433.0801,2698.69,64.81
29/6/18,77.79,431.6989,2727.13,64.8
2/7/18,78.55,433.1492,2704.95,64.13
3/7/18,77.4,428.7638,2733.27,64.09
5/7/18,78.14,434.4613,2724.19,63.06
6/7/18,77.57,434.6685,2737.68,62.99
9/7/18,77.21,434.7238,2768.51,63.13
10/7/18,78.25,436.25,2788.56,63.19
11/7/18,78.78,435.8978,2779.82,63.18
12/7/18,74.17,432.6796,2783.14,63.21
13/7/18,74.34,434.2196,2796.93,63.24
16/7/18,74.92,432.3895,2801.43,63.33
17/7/18,72.01,431.7334,2789.34,63.1
18/7/18,71.74,427.4171,2811.35,62.75
19/7/18,73.06,427.6243,2809.37,63.58
20/7/18,72.65,426.105,2804.55,63.61
23/7/18,73.22,428.3149,2799.17,63.73
24/7/18,72.91,426.2431,2820.68,63.83
25/7/18,73.7,426.1395,2817.73,63.87
26/7/18,74.37,428.5221,2835.49,63.93
27/7/18,74.5,425.4144,2842.35,64.08
30/7/18,74.31,425.4834,2819,64.2
31/7/18,74.93,425.2417,2809.73,64.35
1/8/18,74.07,425.587,2821.17,66.66
2/8/18,72.42,423.895,2800.48,66.86
3/8/18,73.37,420.4765,2829.62,68.24
6/8/18,73.21,421.9268,2840.29,69.21
7/8/18,73.61,419.9931,2855.92,69.35
8/8/18,74.64,421.0981,2856.79,68.81
9/8/18,72.16,421.616,2857.19,68.94
10/8/18,71.97,421.0635,2839.64,68.58
13/8/18,73,421.3398,2835.46,68.55
14/8/18,72.82,413.9848,2827.88,67.96
15/8/18,72.22,414.8135,2827.95,67.66
16/8/18,70.65,408.3218,2831.44,67.59
17/8/18,71.35,408.0456,2838.32,67.99
20/8/18,71.77,410.9807,2853.93,67.95
21/8/18,72.15,413.5359,2861.51,67.65
22/8/18,72.76,415.4351,2860.99,67.69
23/8/18,74.72,415.4006,2860.29,67.54
24/8/18,74.73,412.2928,2862.35,67.48
27/8/18,75.54,418.8536,2884.69,67.42
28/8/18,76.34,420.2693,2901.45,67.35
29/8/18,75.99,417.2652,2900.62,67.28
30/8/18,77.33,418.75,2908.94,67.21
31/8/18,77.53,416.2983,2898.37,67.16
4/9/18,78.19,416.7472,2896.96,66.64
5/9/18,77.82,414.0539,2891.59,67.22
6/9/18,77.02,414.8135,2888.64,68.13
7/9/18,76.69,416.2983,2868.26,68.07
10/9/18,77.08,414.5373,2881.39,68.17
11/9/18,77.38,414.6064,2871.57,67.78
12/9/18,79.42,415.366,2888.29,67.98
13/9/18,79.6,418.4392,2896.85,68.31
14/9/18,78.45,417.1961,2906.38,68.43
17/9/18,78.07,413.9848,2903.83,68.57
18/9/18,77.78,415.8494,2890.74,68.59
19/9/18,78.97,415.366,2906.6,68.67
20/9/18,79.44,417.2652,2919.73,68.67
21/9/18,78.67,418.2666,2936.76,68.69
24/9/18,78.97,414.8135,2921.83,68.68
25/9/18,81.35,415.5041,2921.75,68.62
26/9/18,81.45,416.5401,2916.98,68.66
27/9/18,81.8,414.0884,2911.65,68.69
28/9/18,81.63,409.9793,2910.03,68.73
1/10/18,82.79,413.0525,2926.29,68.4
2/10/18,84.95,412.0166,2923.8,68.84
3/10/18,84.79,417.3688,2931.69,69.08
4/10/18,85.99,415.1243,2919.35,68.51
5/10/18,84.89,415.5732,2902.54,69.24
8/10/18,84.17,416.2983,2877.53,69.29
9/10/18,83.91,410.4282,2882.51,69.64
10/10/18,84.98,411.8439,2873.9,70.39
11/10/18,82.47,413.4669,2776.87,70.24
12/10/18,80.28,423.5497,2770.54,70.49
15/10/18,81,422.0994,2763.83,70.56
16/10/18,80.88,425.1036,2767.05,70.58
17/10/18,81.74,424.2749,2811.67,71.4
18/10/18,80.23,423.3425,2802,71.4
19/10/18,79.44,424.2058,2775.66,71.4
22/10/18,80.11,424.7928,2773.94,71.71
23/10/18,80.04,422.8591,2721.03,71.79
24/10/18,76.35,426.3467,2737.87,72.05
25/10/18,75.67,427.0028,2674.88,72.22
26/10/18,76.6,426.174,2667.86,72.41
29/10/18,77.64,426.5884,2682.65,72.58
30/10/18,76.82,425.2762,2640.68,72.7
31/10/18,76.28,422.721,2705.6,72.81
1/11/18,74.69,420.0967,2717.58,72.99
2/11/18,72.75,426.761,2745.45,72.92
5/11/18,72.85,426.7265,2726.37,73.9
6/11/18,72.85,425.6906,2738.4,74.18
7/11/18,71.66,424.6685,2774.13,74.18
8/11/18,72.1,424.7859,2806.38,75.01
9/11/18,70.87,424.1298,2794.1,75.58
12/11/18,70.69,419.1713,2773.93,75.27
13/11/18,69.13,417.6105,2730.05,74.98
14/11/18,65.62,416.8854,2737.9,74.81
15/11/18,66.12,419.8895,2693.52,74.95
16/11/18,66.68,421.6506,2718.54,75.08
19/11/18,66.99,424.3785,2730.74,75.3
20/11/18,66.9,425.1036,2654.6,74.88
21/11/18,62.6,423.6878,2657.74,74.86
