Date,Open,High,Low,Close
1992/1/2,39.1,39.4,38.85,38.95
1992/1/3,39.2,39.275,38.825,38.9
1992/1/6,40.45,40.45,39.475,39.475
1992/1/7,39.25,39.975,39.1,39.8
1992/1/8,39.9,40.4,39.7,39.9
1992/1/9,40.15,40.7,39.8,40.15
1992/1/10,40,40.475,39.8,40.05
1992/1/13,40.25,40.5,39.85,39.85
1992/1/14,40.15,40.375,39.225,39.475
1992/1/15,39.55,39.85,39.175,39.825
1992/1/16,39.75,40.775,39.55,40.7
1992/1/17,40.7,41,40.4,40.45
1992/1/20,40.1,40.2,39.725,39.875
1992/1/21,39.95,40.625,39.95,40.35
1992/1/22,40.55,40.95,40.3,40.75
1992/1/23,40.75,41.4,40.5,41.4
1992/1/24,41.2,41.55,40.8,40.875
1992/1/27,40.975,41.275,40.95,41.275
1992/1/28,41.5,41.55,40.55,41.25
1992/1/29,40.95,41.45,40.9,41.025
1992/1/30,40.9,40.975,40.575,40.75
1992/1/31,41.1,41.375,40.9,41.25
1992/2/3,41,41.25,40.625,41.25
1992/2/4,41.35,41.75,41.2,41.7
1992/2/5,41.9,41.9,41.5,41.55
1992/2/6,41.6,42,41.3,41.65
1992/2/7,41.725,42.175,41.725,42.125
1992/2/10,42.2,42.55,42,42.45
1992/2/11,42.2,42.3,41.25,41.65
1992/2/12,41.6,41.925,41.125,41.75
1992/2/13,42.05,42.3,41.4,41.7
1992/2/14,41.7,41.8,41.35,41.8
1992/2/18,41.95,42.2,41.75,41.95
1992/2/19,41.9,42.3,41.8,42
1992/2/20,41.8,42.1,41.625,41.725
1992/2/21,41.8,42,40.325,42
1992/2/24,40.5,40.6,39.375,39.45
1992/2/25,39.55,40,39.4,39.75
1992/2/26,39.85,39.85,39.1,39.25
1992/2/27,39.2,39.85,39.05,39.35
1992/2/28,39.1,39.85,38.975,39.85
1992/3/2,39.55,40.025,39.5,39.75
1992/3/3,39.5,39.75,39.25,39.425
1992/3/4,39.75,40.375,39.75,40.15
1992/3/5,40.35,40.6,40.3,40.45
1992/3/6,40.45,41.875,40.375,41.5
1992/3/9,41.6,41.8,41.125,41.3
1992/3/10,41.1,41.25,40.65,41.15
1992/3/11,41.1,41.1,40.6,40.625
1992/3/12,40.95,41.075,40.5,40.65
1992/3/13,40.65,40.8,40.45,40.65
1992/3/16,40.25,40.675,40.1,40.6
1992/3/17,40.55,40.75,40.2,40.55
1992/3/18,40.95,41.375,40.8,41
1992/3/19,41.05,41.15,40.65,40.85
1992/3/20,40.9,41.05,40.675,40.675
1992/3/23,40.7,40.85,40.525,40.75
1992/3/24,40.8,40.925,40.6,40.75
1992/3/25,40.6,40.7,40.175,40.3
1992/3/26,40.125,40.225,39.875,40.15
1992/3/27,40.325,40.8,40.05,40.45
1992/3/30,39.5,40.175,39.5,39.8
1992/3/31,39.95,40.85,39.95,40.7
1992/4/1,40.65,40.825,40.4,40.75
1992/4/2,40.65,41.15,40.55,41
1992/4/3,41.325,41.95,41.2,41.8
1992/4/6,42,42.6,41.95,42.55
1992/4/7,42.4,42.45,42,42.3
1992/4/8,42.2,43.45,42,43.4
1992/4/9,43.4,43.85,43,43.85
1992/4/10,43.525,43.525,42.8,43
1992/4/13,42.95,43.4,42.85,43.2
1992/4/14,43.25,43.7,43.25,43.5
1992/4/15,43.6,43.7,43,43.6
1992/4/16,43.6,43.95,43.25,43.35
1992/4/20,43.15,43.825,43.1,43.725
1992/4/21,44,44.15,43.5,43.55
1992/4/22,43.6,43.775,43.35,43.45
1992/4/23,43.3,43.45,42.85,43.2
1992/4/24,47.8,48.65,47.8,48.4
1992/4/27,48.6,48.9,48.05,48.1
1992/4/28,48.2,48.3,47.75,48.05
1992/4/29,48.15,48.6,47.875,48.125
1992/4/30,48.3,48.65,48.075,48.075
1992/5/1,48.3,48.4,47.875,48.2
1992/5/4,48.3,48.6,48.05,48.4
1992/5/5,48.4,48.5,47.5,47.55
1992/5/6,47.25,47.65,47.25,47.525
1992/5/7,47.7,48.65,47.65,48.65
1992/5/8,48.45,49.25,48.45,49
1992/5/11,48.75,48.775,48.05,48.05
1992/5/12,48.05,48.3,47.85,47.95
1992/5/13,48.2,48.3,47.875,48.3
1992/5/14,48.2,48.2,47.65,47.75
1992/5/15,47.7,47.75,47.325,47.4
1992/5/18,47.05,47.75,47.05,47.675
1992/5/19,47.8,47.9,46.9,47.05
1992/5/20,47.2,47.275,46.55,46.65
1992/5/21,46.95,47.1,46.65,46.8
1992/5/22,46.75,47.35,46.7,47.1
1992/5/26,47.125,47.475,47.05,47.425
1992/5/27,47.45,47.825,47.3,47.7
1992/5/28,47.6,47.7,46.95,47.15
1992/5/29,47.1,47.3,46.85,46.925
1992/6/1,46.9,47.275,46.9,47.1
1992/6/2,47.075,47.4,46.75,47.35
1992/6/3,47.3,47.6,47.1,47.575
1992/6/4,47.55,47.8,47.5,47.525
1992/6/5,47.6,47.625,47.15,47.15
1992/6/8,47.25,47.625,47.1,47.525
1992/6/9,47.65,47.725,47.325,47.5
1992/6/10,47.3,47.5,47.2,47.45
1992/6/11,47.6,47.925,47.375,47.85
1992/6/12,47.9,48.55,47.875,48.25
1992/6/15,48.6,49.1,48.425,49.1
1992/6/16,49,49.225,48.75,49.05
1992/6/17,48.9,49.5,48.75,49.4
1992/6/18,49.6,49.975,49.4,49.875
1992/6/19,50,50.4,49.75,50.2
1992/6/22,50.45,51.1,50.3,51
1992/6/23,51.1,52,51,52
1992/6/24,46.7,46.95,46.625,46.725
1992/6/25,46.55,46.725,46.425,46.675
1992/6/26,46.55,46.75,46.5,46.7
1992/6/29,46.6,46.9,46.55,46.875
1992/6/30,46.75,47.4,46.65,47.275
1992/7/1,46.5,46.95,46.35,46.9
1992/7/2,46.75,46.9,46.55,46.7
1992/7/6,47,47.175,46.55,46.6
1992/7/7,46.7,47.1,46.5,47.1
1992/7/8,46.95,47.05,46.05,46.125
1992/7/9,46.2,46.525,46,46.25
1992/7/10,46.3,46.425,45.95,46.2
1992/7/13,45.95,46.125,45.75,45.75
1992/7/14,45.5,46.05,45.425,45.475
1992/7/15,45.3,45.3,44.875,44.925
1992/7/16,44.85,45.35,44.8,45.35
1992/7/17,45.55,46.025,45.55,45.925
1992/7/20,46.25,46.45,45.9,46
1992/7/21,46.25,46.25,45.25,45.5
1992/7/22,44.9,46,44.8,45.95
1992/7/23,45.8,45.95,45.4,45.8
1992/7/24,45.7,45.85,45.3,45.85
1992/7/27,42.975,43.1,42.35,42.55
1992/7/28,42.45,42.6,42.15,42.4
1992/7/29,42.55,42.85,42.475,42.75
1992/7/30,43,43.35,42.925,43.2
1992/7/31,43.05,43.075,42.7,43.05
1992/8/3,43.35,43.625,43.2,43.6
1992/8/4,43.55,43.55,42.8,43
1992/8/5,43.025,43.55,43.025,43.55
1992/8/6,43.65,43.925,43.35,43.8
1992/8/7,43.7,44,43.525,44
1992/8/10,43.8,43.925,43.4,43.85
1992/8/11,43.875,43.875,43.1,43.175
1992/8/12,43.325,43.675,43.05,43.55
1992/8/13,43.85,44.45,43.85,44.125
1992/8/14,44.2,44.55,44,44.5
1992/8/17,44.35,44.375,43.95,44.1
1992/8/18,44.35,44.55,44.1,44.5
1992/8/19,44.55,44.65,44.25,44.6
1992/8/20,45,45.5,44.9,45.4
1992/8/21,45.5,46,45.1,46
1992/8/24,45.75,46.5,45.525,46.5
1992/8/25,40.2,40.2,39.85,39.975
1992/8/26,39.975,40.35,39.95,40.35
1992/8/27,40.375,40.425,40.05,40.25
1992/8/28,40.2,40.2,39.9,40.2
1992/8/31,39.8,40.1,39.7,40.1
1992/9/1,39.75,40.025,39.5,39.975
1992/9/2,40.2,41.15,40.15,41.15
1992/9/3,40.95,41.3,40.6,40.7
1992/9/4,40.675,40.95,40.475,40.85
1992/9/8,40.725,41.6,40.675,41.2
1992/9/9,41.3,41.5,41,41.05
1992/9/10,41.3,41.8,41.3,41.65
1992/9/11,41.1,41.175,40.3,40.55
1992/9/14,40.4,40.8,40.075,40.6
1992/9/15,40.8,41,40.55,40.7
1992/9/16,40.7,41.05,40.55,40.575
1992/9/17,40.55,40.75,40.325,40.4
1992/9/18,40.25,40.675,40.2,40.5
1992/9/21,40.7,41.2,40.65,41.125
1992/9/22,41,41.2,40.7,40.7
1992/9/23,40.6,40.975,40.45,40.75
1992/9/24,40.8,41.35,40.8,41.25
1992/9/25,41.3,41.45,40.925,41.2
1992/9/28,41.2,42,41.2,41.875
1992/9/29,41.95,42.275,41.875,42.05
1992/9/30,41.9,42.425,41.85,42.425
1992/10/1,41.9,42.85,41.85,42.825
1992/10/2,42.65,43.1,42.325,43.1
1992/10/5,42.7,43.3,42.55,43.3
1992/10/6,42.9,43.075,42.65,42.85
1992/10/7,42.5,42.85,42.4,42.85
1992/10/8,43.05,43.55,42.875,43.4
1992/10/9,43.325,43.325,42.5,42.55
1992/10/12,42.7,43.7,42.6,43.45
1992/10/13,43.5,43.9,43.25,43.6
1992/10/14,43.3,43.55,43.025,43.45
1992/10/15,43.4,43.5,43.05,43.2
1992/10/16,42.95,43,42.55,42.65
1992/10/19,42.65,42.85,42.425,42.8
1992/10/20,42.75,42.85,42.25,42.55
1992/10/21,42.55,43.2,42.45,43
1992/10/22,43.15,43.175,42.4,42.5
1992/10/23,42.4,43.25,42.1,43.25
1992/10/26,43.9,44.25,43.75,43.9
1992/10/27,44.15,44.375,43.8,43.95
1992/10/28,43.75,43.875,42.5,42.5
1992/10/29,42.55,42.8,42.225,42.4
1992/10/30,42.3,42.75,42.2,42.4
1992/11/2,42.175,42.975,42.175,42.975
1992/11/3,42.9,43.15,42.65,43.05
1992/11/4,43.05,43.425,42.875,43.1
1992/11/5,43.15,43.3,42.925,43.2
1992/11/6,42.95,43.2,42.55,42.825
1992/11/9,42.9,43.45,42.9,43.2
1992/11/10,43.35,43.525,42.675,42.775
1992/11/11,42.825,43.15,42.75,42.85
1992/11/12,43,43.325,42.95,43.3
1992/11/13,43.4,43.475,43.125,43.4
1992/11/16,43.8,44.775,43.8,44.7
1992/11/17,44.5,44.55,44.225,44.375
1992/11/18,44.15,44.75,44.1,44.75
1992/11/19,44.65,45.05,44.4,44.9
1992/11/20,44.85,44.85,44.325,44.625
1992/11/23,44.5,44.7,44.05,44.55
1992/11/24,44.65,44.7,44.25,44.7
1992/11/25,44.8,45.05,44.65,44.95
1992/11/26,,,,
1992/11/27,44.8,44.85,44.55,44.65
1992/11/30,44.45,44.75,44.25,44.45
1992/12/1,44.5,45.05,44.375,44.975
1992/12/2,44.9,44.9,44.1,44.1
1992/12/3,44.125,44.3,43.675,44.125
1992/12/4,44.2,44.3,44.05,44.2
1992/12/7,44.5,44.85,44.45,44.775
1992/12/8,44.7,44.775,44.25,44.325
1992/12/9,44.3,44.55,44,44.5
1992/12/10,44.45,44.725,44.225,44.275
1992/12/11,44.325,44.7,44.05,44.5
1992/12/14,44.65,44.875,44.3,44.75
1992/12/15,44.725,44.725,44.35,44.45
1992/12/16,44.4,44.55,43.975,44.5
1992/12/17,44.1,44.15,43.5,43.525
1992/12/18,43.45,43.45,43.125,43.275
1992/12/21,43.25,43.35,43.075,43.25
1992/12/22,43.2,43.225,42.925,43.05
1992/12/23,43.2,43.55,42.7,43.05
1992/12/24,43.5,43.725,43.35,43.7
1992/12/25,,,,
1992/12/28,43.675,43.9,43.6,43.85
1992/12/29,43.65,43.9,43.5,43.6
1992/12/30,43.6,43.675,43.425,43.65
1992/12/31,43.5,43.725,43.3,43.7
1993/1/4,43.7,44.2,43.6,43.7
1993/1/5,43.5,43.5,42.75,42.8
1993/1/6,42.4,42.85,42.3,42.5
1993/1/7,42.5,42.85,42.45,42.8
1993/1/8,42.875,43.375,42.75,43.2
1993/1/11,43.375,44.65,43.35,44.65
1993/1/12,44.8,44.9,44.2,44.3
1993/1/13,44.3,44.3,43.825,43.875
1993/1/14,44,44.15,43.625,43.9
1993/1/15,44,44.4,43.775,44.075
1993/1/18,44,44.2,43.65,43.9
1993/1/19,43.75,44.175,43.65,44.125
1993/1/20,44.3,44.35,43.675,44
1993/1/21,43.95,43.95,43.15,43.35
1993/1/22,43.4,43.9,43.35,43.8
1993/1/25,43.8,44.3,43.8,44.2
1993/1/26,44.2,44.2,43.625,43.65
1993/1/27,43.7,44,43.55,43.9
1993/1/28,43.95,44,43.65,43.7
1993/1/29,43.9,44.2,43.85,44
1993/2/1,44.05,44.1,43.775,43.775
1993/2/2,43.9,43.95,43.575,43.625
1993/2/3,43.625,43.85,43.4,43.55
1993/2/4,43.55,43.825,43.425,43.45
1993/2/5,43.65,43.7,43.25,43.25
1993/2/8,43.3,43.6,43.1,43.45
1993/2/9,43.625,43.925,43.55,43.725
1993/2/10,43.925,44.85,43.925,44.725
1993/2/11,45.125,45.125,44.5,44.65
1993/2/12,44.7,45.325,44.5,45.15
1993/2/15,,,,
1993/2/16,45.8,45.8,45.225,45.5
1993/2/17,45.4,45.4,44.8,45.1
1993/2/18,45.25,45.9,45,45.875
1993/2/19,45.8,46.35,45.65,46.2
1993/2/22,44.825,45,44.75,44.8
1993/2/23,45.1,45.55,44.975,45.1
1993/2/24,45.15,45.375,44.925,45.05
1993/2/25,45.15,45.75,45,45.55
1993/2/26,45.5,46,45.45,45.6
1993/3/1,45.2,45.475,45.125,45.35
1993/3/2,45.325,46.25,45.325,46.175
1993/3/3,45.85,46.25,45.75,45.85
1993/3/4,46.2,46.35,45.8,46.1
1993/3/5,46.1,47.45,45.925,47.2
1993/3/8,47.325,48.75,47.275,48.75
1993/3/9,49.25,49.8,48.05,48.25
1993/3/10,48.3,48.6,47.9,48.2
1993/3/11,48.3,48.85,48.15,48.5
1993/3/12,48.4,48.7,47.85,47.85
1993/3/15,48.1,49.4,48.1,49.175
1993/3/16,49.3,49.775,49.1,49.25
1993/3/17,49,49.225,48.8,48.85
1993/3/18,50,50.375,49.8,50.375
1993/3/19,50.875,51.875,50.875,51.875
1993/3/22,52.9,52.9,51.1,51.5
1993/3/23,51.55,51.55,50.8,50.8
1993/3/24,50.3,50.375,49.4,49.4
1993/3/25,49.3,50.05,49.1,49.8
1993/3/26,49.85,51.2,49.65,50.5
1993/3/29,49.25,49.95,49.1,49.25
1993/3/30,49.5,50.2,49.2,49.6
1993/3/31,50.025,50.8,49.85,50.425
1993/4/1,50.45,50.8,49.5,49.8
1993/4/2,49.3,49.85,48.2,48.2
1993/4/5,47.85,47.85,46.975,47.6
1993/4/6,47.55,47.975,47.45,47.9
1993/4/7,48,48.05,47.175,47.175
1993/4/8,47.4,47.75,47.05,47.35
1993/4/9,,,,
1993/4/12,47.45,47.75,47.3,47.6
1993/4/13,47.6,47.625,47.05,47.2
1993/4/14,47.05,47.6,46.9,47.45
1993/4/15,47.55,47.825,47,47.15
1993/4/16,47.1,47.1,46.3,46.425
1993/4/19,46,46.175,45.8,46.15
1993/4/20,46.25,46.6,46.05,46.1
1993/4/21,46,46.55,45.75,46.325
1993/4/22,46.675,46.7,46.1,46.35
1993/4/23,46.275,47.775,45.9,47.775
1993/4/26,51.3,52.025,51.3,51.75
1993/4/27,51.75,52.225,51.45,52.125
1993/4/28,52,52.3,51.7,51.85
1993/4/29,51.8,52.35,51.6,52.35
1993/4/30,52,52,51.3,51.4
1993/5/3,51.35,52.85,51.3,52.35
1993/5/4,53.3,53.3,52.1,52.5
1993/5/5,52.55,52.65,52.05,52.1
1993/5/6,51.9,52.375,51.85,52.325
1993/5/7,52,52.4,52,52.1
1993/5/10,52.35,52.45,50.675,50.675
1993/5/11,50.65,51.225,50.45,50.9
1993/5/12,51,51.475,51,51.35
1993/5/13,51.35,51.7,51.225,51.6
1993/5/14,51.65,52.1,51.475,51.95
1993/5/17,52,52.25,51.825,51.975
1993/5/18,51.75,51.85,51.475,51.7
1993/5/19,51.6,52.2,51.6,52.1
1993/5/20,52.1,53.3,52.05,53.3
1993/5/21,53.4,53.475,52.8,52.8
1993/5/24,52.6,53.1,52.6,52.8
1993/5/25,53.05,53.35,52.7,53.05
1993/5/26,53.2,53.35,52.6,52.75
1993/5/27,52.75,52.85,51.55,51.95
1993/5/28,51.825,51.85,51.2,51.45
1993/5/31,,,,
1993/6/1,51.55,51.65,51.125,51.125
1993/6/2,51.25,51.6,51.15,51.55
1993/6/3,51.5,51.6,51.25,51.25
1993/6/4,51.05,51.2,50.575,50.9
1993/6/7,51,51.75,50.95,51.7
1993/6/8,51.75,52.125,51.5,51.7
1993/6/9,51.65,51.95,51.4,51.5
1993/6/10,51.6,51.65,51.025,51.125
1993/6/11,51.15,51.2,50.425,50.55
1993/6/14,50.7,51.75,50.7,51.25
1993/6/15,51.5,51.5,50.85,51.2
1993/6/16,50.9,51,50.5,50.675
1993/6/17,50.95,51.95,50.95,51.8
1993/6/18,52.15,52.375,52,52.25
1993/6/21,52.45,52.85,52.25,52.725
1993/6/22,52.9,52.9,52.425,52.6
1993/6/23,52.4,53.25,52.3,53.1
1993/6/24,48.95,49.25,48.75,49.05
1993/6/25,48.75,48.75,47.825,48.4
1993/6/28,48.2,48.375,47.95,48.25
1993/6/29,48.1,48.25,47.425,47.6
1993/6/30,47.65,47.8,47.35,47.7
1993/7/1,49.125,49.125,48.55,48.9
1993/7/2,48.825,49.35,48.425,49.35
1993/7/5,,,,
1993/7/6,49.3,49.625,48.875,49.125
1993/7/7,48.95,49.1,48.7,48.775
1993/7/8,48.6,48.75,48.35,48.475
1993/7/9,48.35,48.4,47.75,47.95
1993/7/12,48.15,48.3,47.8,48.05
1993/7/13,48.1,48.325,47.65,47.75
1993/7/14,47.6,47.85,47.35,47.45
1993/7/15,47.275,47.375,46.925,47.1
1993/7/16,47.15,47.55,46.925,47.1
1993/7/19,47.3,48.175,47.3,47.9
1993/7/20,47.625,47.7,47.025,47.025
1993/7/21,47.25,47.35,46.95,47.225
1993/7/22,47.5,47.9,47.3,47.55
1993/7/23,47.7,48,47,47.9
1993/7/26,48.3,48.4,47.55,47.625
1993/7/27,47.9,48.2,47.5,48.05
1993/7/28,47.6,47.85,47.25,47.75
1993/7/29,48.15,49.075,48,49.05
1993/7/30,49,49.225,48.65,48.95
1993/8/2,48.85,49.75,48.85,49.65
1993/8/3,49.775,50.2,49.325,50.2
1993/8/4,49.65,49.65,49.175,49.65
1993/8/5,49.55,49.65,48.65,49.15
1993/8/6,49,49.4,48.65,49.4
1993/8/9,49.4,49.5,47.95,48
1993/8/10,48.15,48.525,47.9,48.35
1993/8/11,48.2,48.75,48.075,48.5
1993/8/12,48.7,49.5,48.4,49.5
1993/8/13,49.5,50.125,49.4,50.1
1993/8/16,50.075,50.7,49.9,50.45
1993/8/17,50.55,50.575,50.15,50.35
1993/8/18,50.25,50.525,49.85,50.45
1993/8/19,50.55,50.825,50.45,50.775
1993/8/20,50.9,51.25,50.875,51.2
